A;82
Abbandon;4
Abbandonati;1
Abbandonato;1
Abbass;1
Abbassate;1
Abbi;2
Abbiamo;16
Abbisognava;1
Abbracciamoci;1
Abissinia;1
Abituati;1
Accadeva;1
Accendere;2
Accendi;1
Accetto;1
Accompagnate;1
Acconsenti;1
Accost;1
Ad;3
Addio;9
Addossati;1
Addossato;1
Adorabile;1
Adulatore;1
Affascina;1
Afferr;6
Afferra;2
Affrettiamoci;1
Aggrappandosi;1
Aggrappati;1
Agiremo;1
Ah;166
Ai;7
Aiut;1
Aiutandosi;1
Aiutato;1
Aiutava;1
Aiuto;3
Akamba;3
Al;28
All;16
Alla;23
Allah;13
Alle;12
Allora;15
Allung;2
Alto;3
Altre;1
Altri;1
Altro;2
Alz;5
Amatemi;1
Amava;1
Amazzoni;1
Ambong;1
Amici;9
Amico;2
Ammazza;8
Ammazzami;1
Ammazzarlo;1
Amor;1
Anche;8
Ancor;3
Ancora;4
And;2
Andare;1
Andate;10
Andatemi;1
Andatevi;1
Andavano;1
Andiamo;41
Andr;5
Andremo;6
Anelava;1
Anima;1
Animo;5
Annegata;1
Annegatemi;1
Anzi;4
Anzich;2
Appena;3
Appennini;1
Appoggiate;1
Approdare;1
Approder;1
Approderemo;2
Approfittando;1
Approfittare;1
Apr;3
Apri;1
Aprite;1
Arabo;1
Arak;2
Ardo;1
Arena;1
Armata;1
Armati;1
Armerai;1
Arrampicati;1
Arranca;3
Arrest;3
Arrestati;1
Arretr;1
Arrischiava;1
Arriv;2
Arrivederci;3
Artiglieri;1
Asciug;1
Ascolta;6
Ascoltami;4
Ascoltate;5
Ascoltatemi;7
Ascoltava;1
Asia;1
Aspett;1
Aspetta;19
Aspettate;2
Aspettatemi;1
Aspetterai;1
Aspettiamo;4
Aspir;1
Assalteremo;1
Assapor;1
Astuzie;1
Attaccheremo;1
Attenti;1
Attento;2
Attenzione;2
Attila;1
Attorno;1
Attravers;6
Attraversarono;2
Attraversava;1
Attraverso;1
Augurata;1
Australia;1
Avanti;10
