Record  1 Prima prova: 10 Seconda prova: 3
Record  2 Prima prova: 10 Seconda prova: 1
Record  3 Prima prova: 11 Seconda prova: 5
Record  4 Prima prova: 12 Seconda prova: 5
Record  5 Prima prova: 13 Seconda prova: 1
Record  6 Prima prova: 14 Seconda prova: 3
Record  7 Prima prova: 15 Seconda prova: 3
Record  8 Prima prova: 16 Seconda prova: 4
Record  9 Prima prova: 17 Seconda prova: 3
Record  10 Prima prova: 18 Seconda prova: 3
Record  11 Prima prova: 19 Seconda prova: 5
Record  12 Prima prova: 20 Seconda prova: 6
Record  13 Prima prova: 21 Seconda prova: 8
Record  14 Prima prova: 22 Seconda prova: 11
Record  15 Prima prova: 23 Seconda prova: 8
Record  16 Prima prova: 24 Seconda prova: 13
Record  17 Prima prova: 25 Seconda prova: 12
Record  18 Prima prova: 26 Seconda prova: 16
Record  19 Prima prova: 27 Seconda prova: 12
Record  20 Prima prova: 28 Seconda prova: 18
Record  21 Prima prova: 29 Seconda prova: 17
Record  22 Prima prova: 30 Seconda prova: 16
Record  23 Prima prova: 31 Seconda prova: 20
Record  24 Prima prova: 32 Seconda prova: 21
Record  25 Prima prova: 33 Seconda prova: 24
Record  26 Prima prova: 34 Seconda prova: 22
Record  27 Prima prova: 35 Seconda prova: 25
Record  28 Prima prova: 36 Seconda prova: 28
Record  29 Prima prova: 37 Seconda prova: 26
Record  30 Prima prova: 38 Seconda prova: 27
Record  31 Prima prova: 39 Seconda prova: 30
Record  32 Prima prova: 40 Seconda prova: 32
Record  33 Prima prova: 41 Seconda prova: 34
Record  34 Prima prova: 42 Seconda prova: 34
Record  35 Prima prova: 43 Seconda prova: 36
Record  36 Prima prova: 44 Seconda prova: 41
Record  37 Prima prova: 45 Seconda prova: 43
Record  38 Prima prova: 46 Seconda prova: 44
Record  39 Prima prova: 47 Seconda prova: 42
Record  40 Prima prova: 48 Seconda prova: 43
Record  41 Prima prova: 49 Seconda prova: 49
